dcho_id,dcho_keyword,cho_author
5786,Bellerofonte|Chimera|Mosaico|Pegaso,Autore sconosciuto
5789,Chimera|Louvre,Autore sconosciuto
5798,Aryballos|Bellerofonte|Boston|Chimera|Figure nere,Autore sconosciuto
5806,Bellerofonte|Chimera|Louvre|Pittore di Heidelberg,Pittore di Heidelberg
5815,Bellerofonte|Louvre|Pegaso|Terracotta,Autore sconosciuto
5816,Getty|Nike-Vittoria,Autore sconosciuto
5822,Affresco|Nike-Vittoria,Autore sconosciuto
5823,Bellerofonte|Carracci|Chimera|Louvre,"Carracci, Annibale"
5830,Nike-Vittoria,
5831,Bellerofonte|Chimera|Rubens,"Rubens, Pieter Paul"
5840,Anfitrite|Louvre|Mosaico|Poseidone,Autore sconosciuto
5846,Duride|Louvre|Nike-Vittoria,Duride
5847,Ade|Museo Nazionale Romano|Putone,Autore sconosciuto
5856,Atena|Nike,Autore sconosciuto
5857,Ade|British Museum|Plutone|Testa di Ade,Autore sconosciuto
5864,Metropolitan Museum of Art|Nike-Vittoria,Autore sconosciuto
5867,Metropolitan Museum of Art|Nike-Vittoria,Autore sconosciuto
5870,British Museum|Plutone|Proserpina,Autore sconosciuto
5873,British Museum|Goltzius|Plutone,"Goltzius, Hendrick"
5876,Ade|Bonasone|British Museum|Inferi|Plutone,"Bonasone, Giulio"
5879,Ade|British Museum|Caraglio|Cerbero|Plutone,"Caraglio, Jacopo"
5882,British Museum|Era|Giunone|Statuetta,Autore sconosciuto
5885,British Museum|cammeo di onice|Era|Giunone,
5888,British Museum|Era|Giunone|Moneta,"Procilius, L."
5892,British Museum|Caraglio|Era|Giunone,"Caraglio, Jacopo"
5895,British Museum|Era|Ermes|Gemma,
5898,British Museum|Era|statua di Era,Autore sconosciuto
5901,British Museum|Era|Statuetta,Autore sconosciuto
5904,British Museum|Bronzo|Era|Giunone,Autore sconosciuto
5907,Arianna|Bacco|British Museum|Giunone-Era|Mercurio-Hermes,Autore sconosciuto
5913,British Museum|Cole|Giunone|Sirena,"Cole, Herbert"
5916,Chimera|disegno|Prado,"Ligozzi, Jacopo"
5920,Bronzo|Centauro|Metropolitan,Autore sconosciuto
5923,Cordoba|Maschera|Pan,Autore sconosciuto
5926,Gemma|Pegaso|Trieste,Autore sconosciuto
5931,Bellerofonte|Chimera|Getty|Kylix|Pegaso|Pittore di Boread,Pittore di Boread
5937,Bellerofonte|Bertoldo|Kunsthistorische Museum|Pegaso,"Di Giovanni, Bertoldo"
5942,Centauri|Eracle|Louvre|Nesso|Pittore di Heidelberg,Pittore di Heidelberg
5944,Afrodite|MANN|Venere,Autore sconosciuto
5947,Giove|Napoli|Zeus,Autore sconosciuto
5950,Asclepio|British Museum|Esculapio|Serpente,Autore sconosciuto
5954,British Museum|Cerbero|Moneta|Plutone,Autore sconosciuto
5957,Ade|British Museum|Goltzius|Plutone,"Goltzius, Hendrick"
5960,Crono|Goya|museo del Prado|saturno,"Goya y Lucientes, Francisco de"
5963,Goya|Moire|museo del Prado|Parche,"Goya y Lucientes, Francisco de"
5966,Crono|museo del Prado|Rubens|saturno,"Rubens, Pieter Paul"
5971,Cerere|cornucopia|museo del Prado|Pan|Rubens,"Rubens, Pieter Paul"
5974,Callisto|Diana|museo del Prado|Rubens,"Rubens, Pieter Paul"
5977,Bayeu|Giganti|museo del Prado|Olimpo,"Bayeu y Subías, Francisco"
5983,Nike-Vittoria|Rubino,"Rubino, Francesco"
5987,Biancini|Nike-Vittoria,"Biancini, Angelo"
5990,Capucci|moda|vittoria alata,"Capucci, Roberto"
5994,Biani|Nike-Vittoria,"Biani, Mauro"
5997,Nike-Vittoria|Sironi,"Sironi, Mario"
6003,Sironi|vittoria alata,"Sironi, Mario"
6006,Cimarelli|Nike-Vittoria,"Cimarelli, Dionisio"
6009,atleta vincitore|Duride|Nike-Vittoria,Duride
6012,Acropoli|Nike-Vittoria|Sacrificio|Toro,"""Maestro A"" e ""Maestro B"""
6015,British Museum|Gemma|Moire|Parche,Autore sconosciuto
6018,British Museum|Cosway|Eros|Moire,"Cosway, Maria"
6021,Hassan|Nike-Vittoria,"Hassan, Omar"
6024,guerra dacica|Nike-Vittoria|vittoria alata,Autore sconosciuto
6029,Nike-Vittoria|Paionios,Paionios
6033,Manara|Nike,"Manara, Enzo"
6040,Atene|Elmo|Nike-Vittoria|scudo|Serpente,Autore sconosciuto
6043,basamento istoriato|Elmo|grifi|lancia|LeQuire|Nike-Vittoria|Sfinge,"LeQuire, Alan"
6049,Asclepio|Bronzo|Esculapio|Louvre|Parigi|scultura|Statua,Autore sconosciuto
6052,Asclepio|Esculapio|Louvre|Parigi|scultura|Smirne|Terracotta,
6055,Asclepio|Esculapio|Louvre|Parigi|scultura|Terracotta,
6061,Asclepio|Bassorilievo|Esculapio|Igea|Louvre|Marmo pentelico|Parigi,Autore sconosciuto
6068,Bellerofonte|Ceramica|ceramica attica|Chimera|Figure rosse|Louvre|Parigi|Pegaso|Pittore di Kleophon,Pittore di Kléophon(?)
6071,Bellerofonte|Ceramica|ceramica attica|Chimera|Figure rosse|Louvre|Parigi|Pegaso|Pittore di Barclay,Pittore Barclay
6074,Bellerofonte|Ceramica Apula|Chimera|Louvre|Parigi|Pegaso,Autore sconosciuto
6077,Atlante|Bronzo|Louvre|Parigi|Zoppo,"Zoppo, Agostino"
6081,Atlante|Louvre|Parigi|scultura|Statua,Autore sconosciuto
6085,Asclepio|Esculapio|Louvre|Marmo|Parigi|scultura|Statua,Autore sconosciuto
6089,Asclepio|Bassorilievo|Esculapio|Igea|Louvre|Marmo|Parigi|scultura,Autore sconosciuto
6096,Cambridge|Chimera|Harvard|Moreau,"Moreau, Gustave"
6099,arte etrusca|Centauro|necropoli|scultura|Vulci,Maestro del Centauro
6105,Bronzo|Centauro|Deianira|Nesso|scultura,Autore sconosciuto
6107,Centauro|Eracle|Ercole|Firenze|Jean de Boulogne|Marmo|Nesso|Statua,Giambologna
6113,gruppo scultoreo|Moire|Parigi|Rodin,"Rodin, Auguste"
6120,Kentridge|Nike-Vittoria|scudo o clipeo|stilo|Street Art,"Kentridge, William"
6125,Fontana|Nike-Vittoria,"Fontana, Lucio"
6128,Martini|Nike-Vittoria,"Martini, Arturo"
6131,Calvatone|Globo|Nike-Vittoria|palmizio,Autore sconosciuto
6133,British Museum|Cole|Sirena,"Cole, Herbert"
6138,British Museum|Goyder|Sirena|stampa,"Goyder, Alice Kirkeley"
6141,Apollo|British Museum|Eracle|Moneta|Pitone,Autore sconosciuto
6150,British Museum|Gilbert|Pitone|stampa,"Gilbert, Achille Isidore"
6153,Manzi|Nike-Vittoria,"Marzi, Verdiano"
6156,benda|Canova|Globo|lancia|mantello|Napoleone|Nike-Vittoria|spada|supporto,"Canova, Antonio"
6157,British Museum|disegno|Füssli|Moire,"Füssli, Johann Heinrich"
6163,British Museum|cammeo|Giove|Giunone,Autore sconosciuto
6167,Nike-Vittoria|palmizio|penna|Romano|scudo,"Romano, Giulio"
6168,Atena|Giunone|Venere,"Galle, Philips"
6171,British Museum|Giunone|Kauffman|stampa,"Kauffman, Angelica"
6176,Elmo|Nike-Vittoria|Sironi|soldato|spada,"Sironi, Mario"
6180,Cavalli|Corona|Nike-Vittoria|Palma|Quadriga,Autore sconosciuto
6186,Canova|mantello|Napoleone,"Canova, Antonio"
6190,Alcantara|Nike,"Mendola, Carmelo"
6193,British Museum|flauto di pan|Pan,Autore sconosciuto
6196,British Museum|Pan|Testa di pan,Autore sconosciuto
6199,British Museum|Bronzo|Poseidone,Autore sconosciuto
6202,British Museum|Moneta|Poseidone,Autore sconosciuto
6205,British Museum|Poseidone|statua di Poseidone,Autore sconosciuto
6209,British Museum|Moneta d'argento|Poseidone,Autore sconosciuto
6212,British Museum|Caraglio|Poseidone|stampa,"Caraglio, Jacopo"
6215,British Museum|disegno|Nettuno|Tiepolo,"Tiepolo, Giambattista"
6218,arazzo|Londra|Moire,Autore sconosciuto
6224,disegno|Medusa|Perseo|Sargent,"Sargent, John Singer"
6232,Sirena|Waterhouse,"Waterhouse, John William"
6237,Sirena|Vedder,"Vedder, Elihu"
6241,Leighton|pescatore|Sirena,"Leighton, Frederick"
6247,Nettuno|PichiAvo|Poseidone,PichiAvo
6250,Afrodite|PichiAvo|Venere,PichiAvo
6253,Ermes|Mercurio|PichiAvo,PichiAvo
6256,Ares|Marte,Autore sconosciuto
6259,Venere,Autore sconosciuto
6262,Asclepio|scultura,Autore sconosciuto
6265,Asclepio|Statua,Autore sconosciuto
6268,Asclepio|Statua,Autore sconosciuto
6272,Bronzo|Pan|Statua,Autore sconosciuto
6280,Amigoni|Pan|Siringa,"Amigoni, Jacopo"
6283,Pan|Romanelli|Siringa,"Romanelli, Giovanni Francesco"
6286,arte romana|Erma|Pan|scultura,Autore sconosciuto
6289,Affresco|Pan|Raffaello|Siringa,Raffaello
